Model,Train Set MSE Mean,Train Set MSE Standard Deviation,Test Set MSE Mean,Test Set MSE Standard Deviation
Naive Regression,83.97,6.75,85.56,8.47
Linear Regression (feature='CRIM'),70.08,6.59,75.65,7.09
Linear Regression (feature=' ZN '),72.48,7.72,74.81,7.32
Linear Regression (feature='INDUS '),65.12,6.67,64.51,7.58
Linear Regression (feature='CHAS'),80.46,6.41,84.21,7.47
Linear Regression (feature='NOX'),67.02,7.69,71.23,10.57
Linear Regression (feature='RM'),41.86,5.21,44.87,5.39
Linear Regression (feature='AGE'),74.48,5.43,72.09,7.81
Linear Regression (feature='DIS'),78.77,8.45,80.11,9.94
Linear Regression (feature='RAD'),72.85,6.43,71.05,7.59
Linear Regression (feature='TAX'),66.04,6.8,65.05,7.89
Linear Regression (feature='PTRATIO'),60.09,4.66,66.5,6.39
Linear Regression (feature='LSTAT'),36.96,3.41,40.71,4.77
Linear Regression (all features),22.62,2.28,23.32,2.78
